c7bb	0	DEY	A: 0	X: ff	Y: e6	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: e5	SP: ff
c7b9	7e5	STA	A: 0	X: ff	Y: e5	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: e5	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: e4	SP: ff
c7b9	7e4	STA	A: 0	X: ff	Y: e4	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: e4	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: e3	SP: ff
c7b9	7e3	STA	A: 0	X: ff	Y: e3	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: e3	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: e2	SP: ff
c7b9	7e2	STA	A: 0	X: ff	Y: e2	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: e2	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: e1	SP: ff
c7b9	7e1	STA	A: 0	X: ff	Y: e1	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: e1	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: e0	SP: ff
c7b9	7e0	STA	A: 0	X: ff	Y: e0	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: e0	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: df	SP: ff
c7b9	7df	STA	A: 0	X: ff	Y: df	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: df	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: de	SP: ff
c7b9	7de	STA	A: 0	X: ff	Y: de	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: de	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: dd	SP: ff
c7b9	7dd	STA	A: 0	X: ff	Y: dd	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: dd	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: dc	SP: ff
c7b9	7dc	STA	A: 0	X: ff	Y: dc	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: dc	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: db	SP: ff
c7b9	7db	STA	A: 0	X: ff	Y: db	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: db	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: da	SP: ff
c7b9	7da	STA	A: 0	X: ff	Y: da	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: da	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d9	SP: ff
c7b9	7d9	STA	A: 0	X: ff	Y: d9	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d9	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d8	SP: ff
c7b9	7d8	STA	A: 0	X: ff	Y: d8	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d8	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d7	SP: ff
c7b9	7d7	STA	A: 0	X: ff	Y: d7	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d7	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d6	SP: ff
c7b9	7d6	STA	A: 0	X: ff	Y: d6	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d6	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d5	SP: ff
c7b9	7d5	STA	A: 0	X: ff	Y: d5	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d5	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d4	SP: ff
c7b9	7d4	STA	A: 0	X: ff	Y: d4	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d4	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d3	SP: ff
c7b9	7d3	STA	A: 0	X: ff	Y: d3	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d3	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d2	SP: ff
c7b9	7d2	STA	A: 0	X: ff	Y: d2	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d2	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d1	SP: ff
c7b9	7d1	STA	A: 0	X: ff	Y: d1	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d1	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: d0	SP: ff
c7b9	7d0	STA	A: 0	X: ff	Y: d0	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: d0	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: cf	SP: ff
c7b9	7cf	STA	A: 0	X: ff	Y: cf	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: cf	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: ce	SP: ff
c7b9	7ce	STA	A: 0	X: ff	Y: ce	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: ce	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: cd	SP: ff
c7b9	7cd	STA	A: 0	X: ff	Y: cd	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: cd	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: cc	SP: ff
c7b9	7cc	STA	A: 0	X: ff	Y: cc	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: cc	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: cb	SP: ff
c7b9	7cb	STA	A: 0	X: ff	Y: cb	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: cb	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: ca	SP: ff
c7b9	7ca	STA	A: 0	X: ff	Y: ca	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: ca	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c9	SP: ff
c7b9	7c9	STA	A: 0	X: ff	Y: c9	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c9	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c8	SP: ff
c7b9	7c8	STA	A: 0	X: ff	Y: c8	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c8	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c7	SP: ff
c7b9	7c7	STA	A: 0	X: ff	Y: c7	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c7	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c6	SP: ff
c7b9	7c6	STA	A: 0	X: ff	Y: c6	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c6	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c5	SP: ff
c7b9	7c5	STA	A: 0	X: ff	Y: c5	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c5	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c4	SP: ff
c7b9	7c4	STA	A: 0	X: ff	Y: c4	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c4	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c3	SP: ff
c7b9	7c3	STA	A: 0	X: ff	Y: c3	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c3	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c2	SP: ff
c7b9	7c2	STA	A: 0	X: ff	Y: c2	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c2	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c1	SP: ff
c7b9	7c1	STA	A: 0	X: ff	Y: c1	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c1	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: c0	SP: ff
c7b9	7c0	STA	A: 0	X: ff	Y: c0	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: c0	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: bf	SP: ff
c7b9	7bf	STA	A: 0	X: ff	Y: bf	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: bf	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: be	SP: ff
c7b9	7be	STA	A: 0	X: ff	Y: be	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: be	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: bd	SP: ff
c7b9	7bd	STA	A: 0	X: ff	Y: bd	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: bd	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: bc	SP: ff
c7b9	7bc	STA	A: 0	X: ff	Y: bc	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: bc	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: bb	SP: ff
c7b9	7bb	STA	A: 0	X: ff	Y: bb	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: bb	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: ba	SP: ff
c7b9	7ba	STA	A: 0	X: ff	Y: ba	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: ba	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b9	SP: ff
c7b9	7b9	STA	A: 0	X: ff	Y: b9	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b9	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b8	SP: ff
c7b9	7b8	STA	A: 0	X: ff	Y: b8	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b8	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b7	SP: ff
c7b9	7b7	STA	A: 0	X: ff	Y: b7	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b7	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b6	SP: ff
c7b9	7b6	STA	A: 0	X: ff	Y: b6	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b6	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b5	SP: ff
c7b9	7b5	STA	A: 0	X: ff	Y: b5	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b5	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b4	SP: ff
c7b9	7b4	STA	A: 0	X: ff	Y: b4	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b4	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b3	SP: ff
c7b9	7b3	STA	A: 0	X: ff	Y: b3	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b3	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b2	SP: ff
c7b9	7b2	STA	A: 0	X: ff	Y: b2	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b2	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b1	SP: ff
c7b9	7b1	STA	A: 0	X: ff	Y: b1	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b1	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: b0	SP: ff
c7b9	7b0	STA	A: 0	X: ff	Y: b0	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: b0	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: af	SP: ff
c7b9	7af	STA	A: 0	X: ff	Y: af	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: af	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: ae	SP: ff
c7b9	7ae	STA	A: 0	X: ff	Y: ae	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: ae	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: ad	SP: ff
c7b9	7ad	STA	A: 0	X: ff	Y: ad	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: ad	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: ac	SP: ff
c7b9	7ac	STA	A: 0	X: ff	Y: ac	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: ac	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: ab	SP: ff
c7b9	7ab	STA	A: 0	X: ff	Y: ab	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: ab	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: aa	SP: ff
c7b9	7aa	STA	A: 0	X: ff	Y: aa	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: aa	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a9	SP: ff
c7b9	7a9	STA	A: 0	X: ff	Y: a9	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a9	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a8	SP: ff
c7b9	7a8	STA	A: 0	X: ff	Y: a8	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a8	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a7	SP: ff
c7b9	7a7	STA	A: 0	X: ff	Y: a7	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a7	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a6	SP: ff
c7b9	7a6	STA	A: 0	X: ff	Y: a6	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a6	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a5	SP: ff
c7b9	7a5	STA	A: 0	X: ff	Y: a5	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a5	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a4	SP: ff
c7b9	7a4	STA	A: 0	X: ff	Y: a4	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a4	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a3	SP: ff
c7b9	7a3	STA	A: 0	X: ff	Y: a3	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a3	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a2	SP: ff
c7b9	7a2	STA	A: 0	X: ff	Y: a2	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a2	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a1	SP: ff
c7b9	7a1	STA	A: 0	X: ff	Y: a1	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a1	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: a0	SP: ff
c7b9	7a0	STA	A: 0	X: ff	Y: a0	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: a0	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 9f	SP: ff
c7b9	79f	STA	A: 0	X: ff	Y: 9f	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 9f	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 9e	SP: ff
c7b9	79e	STA	A: 0	X: ff	Y: 9e	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 9e	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 9d	SP: ff
c7b9	79d	STA	A: 0	X: ff	Y: 9d	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 9d	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 9c	SP: ff
c7b9	79c	STA	A: 0	X: ff	Y: 9c	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 9c	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 9b	SP: ff
c7b9	79b	STA	A: 0	X: ff	Y: 9b	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 9b	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 9a	SP: ff
c7b9	79a	STA	A: 0	X: ff	Y: 9a	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 9a	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 99	SP: ff
c7b9	799	STA	A: 0	X: ff	Y: 99	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 99	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 98	SP: ff
c7b9	798	STA	A: 0	X: ff	Y: 98	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 98	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 97	SP: ff
c7b9	797	STA	A: 0	X: ff	Y: 97	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 97	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 96	SP: ff
c7b9	796	STA	A: 0	X: ff	Y: 96	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 96	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 95	SP: ff
c7b9	795	STA	A: 0	X: ff	Y: 95	SP: ff
c7bb	0	DEY	A: 0	X: ff	Y: 95	SP: ff
c7bc	c7b9	BNE	A: 0	X: ff	Y: 94	SP: ff
